conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
hit:5002_conv:10004,2,sad,It's sad thinking about my parents growing old and not how I once remembered them. I guess that's life.,524,i know the feeling_comma_ it makes you wish time would slow down,5|5|5_5|5|5,
hit:6189_conv:12378,4,anxious,I was a little nervous going to the doctor this morning. I did not feel like going,481,Well you made it through_comma_ glad you went to make sure you are healthy!,4|5|5_5|5|5,
hit:5774_conv:11548,5,proud,I was proud of a pizza I made yesterday,196,Let me know the next time you are in town and I will do. Prepare to be dazzled.,5|5|5_5|5|5,
hit:4040_conv:8080,3,surprised,I got a really high score on my last exam despite not studying enough.,332,Thank you_comma_ I hope that's it... Or maybe just lucky this time. haha,5|5|5_5|5|5,
hit:9319_conv:18638,2,disgusted,being served raw food,63,thats really annoying to deal with,5|5|5_5|5|5,
hit:8937_conv:17875,1,disappointed,I just received a call from the job I really wanted. They said they went with a different candidate. ,297,So I had really good job interview. They just called to say they went with someone else. Im a little bummed about that.,5|5|5_4|4|4,
hit:1267_conv:2534,6,sad,I am upset Brian Lawyer died.,286,Oh wow that's horrible.,5|5|5_2|5|5,
hit:7320_conv:14641,2,trusting,The only lady I put my trust in (aside from my mother) these days is Lady Luck.  She hasn't failed me yet and I see a lot of good things in our future,588,Whys that?,5|5|5_3|3|3,
hit:2614_conv:5228,4,lonely,All my friends have moved out of state after college and I'm the only one left. I miss them and am trying to decide if it's worth it to move.,366,Yes_comma_ using social media really helps us connect with friends and family so much better.,5|5|5_5|5|5,
hit:5578_conv:11156,3,sentimental,i just went to a wedding this weekend_comma_ it was very emotional.,248,it was my cousin's_comma_ it was intense because i grew up with him you know. ,5|5|5_5|5|5,
hit:88_conv:177,1,proud,I finally rearranged the garage after a year of putting it off,46,So after a year of being here we finally got to rearrange the garage.,3|4|5_5|5|5,
hit:8734_conv:17468,3,sad,My favorite pizza place closed down last week and I am still bummed out about it.,332,Yes_comma_ it sure was. Made GREAT pizza. I miss them already...,5|5|5_5|5|5,
hit:1864_conv:3728,2,excited,I am excited for the new super smash bros game coming out for the switch soon,343,Sounds interesting. I'd love to check that out!,5|5|5_5|5|5,
hit:1446_conv:2893,3,terrified,I have to meet new teachers for my kids today. I get scared doing that sometimes.,262,Im the parent. I always feel like I don't belong around other parents because they are always much older.,5|5|5_5|5|5,
hit:12252_conv:24505,2,faithful,I was out with my guy friends last weekend. A girl approached me and wanted my number but I told her no because I have a girlfriend.,524,That is faithful_comma_ you are a good dude,5|5|5_5|5|5,
hit:11804_conv:23609,3,afraid,When my house burned down. I had to save my mother.,375,The fire department said it was spontaneous combustion.,5|5|5_5|5|5,
hit:10866_conv:21732,2,embarrassed,I farthed in a mall_comma_ ,534,Thats aweful!,4|5|5_4|4|4,
hit:7117_conv:14235,5,proud,When I got the first place in a baking competition,516,Thanks_comma_ I feel very proud,5|4|5_5|5|5,
hit:6801_conv:13602,1,jealous,My sister got a new pair of shoes. They were the same ones that I had been wanting but can't afford. I should have been happy for her but I wasn't.,548,My sister got a new pair of shoes. They were the same ones that I had been wanting but can't afford. I should have been happy for her but I wasn't.,5|5|5_5|5|5,
hit:7331_conv:14662,2,sad,My external hard disk has stop working. I had very important on it. It can't be fixed.,1,That must be frustrating. What are you going to do now?,5|5|5_5|5|5,
hit:5544_conv:11089,3,proud,my daughter went school shopping by herself. She got everything she needed,27,She did. And surprisingly she got everything she needed and didn't empty my bank account!,5|5|5_5|5|5,
hit:1015_conv:2030,1,surprised,I can't believe my electric is bill is so high this onth.,27,MY electriv bill is through the roof this month.,4|4|4_5|5|4,
hit:8738_conv:17477,1,impressed,I visited an old friend the other day who lives about an hour away from me in another town_comma_ and her 10 year son has this new puppy they got. He was showing me all things he had taught this puppy to do in the last week of having him. The dog could already shake_comma_ lay down_comma_ sit_comma_ roll over_comma_ run in a circle_comma_ jump_comma_ and sit still when a treat was put on his nose until you tell him okay. I was flabbergasted that he taught the dog all of this!,227,I visited an old friend the other day who lives about an hour away from me in another town_comma_ and her 10 year son has this new puppy they got. He was showing me all things he had taught this puppy to do in the last week of having him. The dog could already shake_comma_ lay down_comma_ sit_comma_ roll over_comma_ run in a circle_comma_ jump_comma_ and sit still when a treat was put on his nose until you tell him okay.,5|5|5_5|5|5,
hit:2310_conv:4621,2,surprised,There were 6 kittens in front of my doorstep this morning.,225,Are you keeping them?,5|5|5_5|5|5,
hit:12290_conv:24580,1,angry, I saw a man slap his wife today. it made me extremely mad,524,A man slapped his wife today at the store_comma_ i didnt take too kindly too it,5|5|5_5|5|5,
hit:1170_conv:2341,4,excited,I am positive about my next vacation.,277,No I am really jealous!  I have wanted to go there for the longest time.  I am happy for you!,4|5|5_5|5|5,
hit:4380_conv:8761,1,prepared,I have my driving test tomorrow at DPS. The whole weekend I only practiced parallel parking with my friend,155,Tomorrow_comma_ I have my driving test. This whole weekend I practiced parallel parking which is the hardest part of it,5|5|5_5|5|5,
hit:11928_conv:23857,6,ashamed,I was spending a night over with my girlfriend at her mom's house. While she was sleeping I ended up having sex with her mom.,568,that's so disgusting you are disgusting,1|5|5_1|3|4,
hit:7407_conv:14815,1,anxious,I was on a plane last month and they had bad storms.  The plane was shaking and it was unnerving,282,I in a plane last month and we hit a bunch of turbulance.  It was very unnerving and the plane was shaking a lot,5|5|5_5|5|5,
hit:7383_conv:14766,3,annoyed,I was making myself a pancake the other day and my dog kept bothering me because he was upset.,128,No_comma_ he's my right hand man so I had to let it slide.,5|5|5_5|5|5,
hit:5715_conv:11430,3,angry,Why does no one ever pay me!,9,Pay me for my service!,5|5|5_5|5|5,
hit:11945_conv:23891,3,apprehensive,I really do not want to go to the concert tomorrow.,4,I do not like the type of music being played. I am being forced to go.,5|55|5_4|4|4,
hit:6555_conv:13110,2,nostalgic,I used to play video games in my childhood. My daughter is playing the same game with updated version. It remembers me my childhood.,397,Wow that's funny! ,5|5|5_5|5|5,
hit:1870_conv:3741,1,terrified,I heard someone bumping around the downstairs of my house last night after I had gone to bed and it scared me half to death.,294,I heard someone bumping around the downstairs of my house last night after I had gone to bed and it scared me half to death.,5|5|5_5|5|5,
hit:254_conv:509,4,terrified,I recently thought I saw a ghost in my house. It was horrifying to me.,111,I bet_comma_ what did it look like?,5|5|5_4|4|4,
hit:6235_conv:12470,1,surprised,For our wedding anniversary_comma_ my wife bought a trip to Hawai. I was not expecting that_comma_,7,For our wedding anniversary_comma_ my wife bought a trip to Hawai. I was not expecting that.,5|5|5_4|4|5,
hit:10618_conv:21237,1,faithful,When another person of the opposite sex was trying to convince me to cheat on my spouse,425,A coworker of the opposite sex was recently hitting on me and trying to get me to cheat on my partner.,4|4|5_5|5|5,
hit:1692_conv:3384,5,joyful,I remember when I went over to my friend's house because her dog just had puppies. It was so exciting and I was so happy! What an amazing thing to see!,248,I think I will ask my landlord. It would be so fun!!!!,5|5|5_5|5|5,
hit:2388_conv:4776,3,joyful,Haven't seen my friends in a while_comma_ we had such a great time at the lake.,1,3 years ago.,5|5|5_5|5|5,
hit:11549_conv:23099,2,devastated,I had written a 20 page paper for a class. Before I could save it the computer crashed and lost all of my work.,59,Oh my_comma_ do you have a draft saved. Or was that the only copy?,5|5|5_5|5|5,
hit:10556_conv:21113,3,afraid,My nephew was racing around our house_comma_ and fell head first into the corner of a bookcase.  There was a ton of blood and I had to take him to the ER.  Luckily_comma_ it was better than it looked and it wasn't a huge deal.,527,Yes_comma_ luckily it looked much worse than it actually was!,5|5|5_5|5|5,
hit:11959_conv:23918,1,prepared,I am ready for my exam next week.,4,I am ready for my exam next week.,5|5|5_4|4|4,
hit:6715_conv:13431,1,confident,I have a big interview coming up. I feel really good about. I feel well prepared.,297,I feel really good about this job interview I have coming up.,5|5|5_4|5|5,
hit:4726_conv:9453,7,guilty,I ate McDonalds in the car the other day because I didn't buy my kids any,262,There is no evidence,5|5|5_5|5|5,
hit:12282_conv:24564,4,sad,I ruined my favorite shorts today. i sharted,852,I bet that was embarrassing. Was you drunk?,5|5|5_5|5|5,
hit:7071_conv:14142,1,annoyed,While driving in the road_comma_ people do not use indicators properly. They are using the blinkers for left and taking a right. Quality of driving is going down,43,I was driving other day. One of the driver in front used the blinker for left and took a right. I was so damn irritated!!,5|5|5_5|5|5,
hit:8636_conv:17272,4,proud,My son had all A's last year at school.  I am so pleased with his performance.,397,I hope he keeps it up!,5|5|5_5|5|5,
hit:10689_conv:21379,1,ashamed,I was watching the Bachelor while eating snacks. Throughout the entire episode_comma_ I managed to eat an entire box of cookies.,751,Have you ever watched the Bachelor?,4|5|5_4|5|5,
hit:4222_conv:8445,4,proud,My dog did great at training class.,100,Oh wow I only have small dogs_comma_ I can't imagine training a big dog.,5|5|5_4|5|5,
hit:5423_conv:10847,4,sad,My cat just turned 23 last week. She has been really sick. We have to put her down next week.,475,I'm sorry_comma_ At least you can rest assured knowing that your cat lived a long life.,5|5|5_5|5|5,
hit:1056_conv:2112,3,joyful,I am so happy it's summertime.,4,I like the fact its light out longer.,5|5|5_5|5|5,
hit:4813_conv:9626,4,surprised,I unexpectedly ran into a snake while walking in my yard a few days ago.,506,Was it a poisonous one?,5|5|5_5|5|5,
hit:901_conv:1802,2,annoyed,Earlier this week_comma_ I was in the middle of an email_comma_ and my computer shut down randomly. It took nearly an hour to reboot_comma_ and then was super slow. ,259,I hate when that happens!,4|5|5_5|5|5,
hit:7093_conv:14186,1,anticipating,I am so ready for my first hockey game this winter.,4,I am so ready for my first hockey game this winter.,5|5|5_5|5|5,
hit:6059_conv:12119,5,excited,i might be taking a trip to see my family within the month or within the next 4 monhts.,463,it's terrible to feel that way but lord do they know how to push our buttons right!,4|5|5_5|5|5,
hit:2046_conv:4093,1,nostalgic,Every time I look to my left_comma_ I see my 3DS sitting there and I remember all of the Pokemon games I've played. I can remember the first game I ever played_comma_ Pokemon Crystal_comma_ when I was about 10 years old.,367,I saw my 3DS next to me on my desk and thought about all of the Pokemon games I played as a kid.,5|5|5_5|5|5,
hit:1485_conv:2970,2,disappointed,I was very ashamed when I found out I got cheated on. It really just took all the energy and hope out of me.,209,Well_comma_ that't not your fault at all. It's your scumbag significant other's fault. You shouldn't feel ashamed for the crummy thing he did - you did nothing wrong.,5|5|5_5|5|5,
hit:4526_conv:9053,4,sad,I'm going back to college in a few weeks and I really like it over there. Despite this_comma_ not seeing my cat will be really sad.,389,Oops.  I didn't mean to type 5 LOL.  I hope you get to take breaks to go see your cat on the weekends :(,5|5|5_5|5|5,
hit:10682_conv:21364,4,grateful,I am so grateful to my friend who took me home when I got drunk at the bar.,666,That's a good friends right there. Looking out for your best interests is a sign that they're truly a keeper.,5|5|5_5|5|5,
hit:7317_conv:14634,3,disgusted,My friends wife left him in the middle of the night. I feel sick for him,126,Sorry_comma_ My friends wife left him in the middle the night. It made me sick,3|4|4_5|5|5,
hit:3915_conv:7830,1,content,I got to the go the mountains last week. It was just very calming,126,It was very calming going to the mountains last week. I just felt right,4|5|4_4|5|5,
hit:5783_conv:11566,4,confident,I am confident that I will find a job soon,59,So you must have prepared well for it. I hope you get the job!,5|5|5_5|5|5,
hit:11061_conv:22123,1,ashamed,My puppy was biting his leash for the umpteenth time and I lost my temper and slapped his snout. I am embarrassed because I'm a grown adult and I know that's not how to teach or train a puppy.,724,I feel horrible. I lost my temper and slapped my dog :(,4|5|5_4|3|4,
hit:8364_conv:16728,1,terrified,I flew for the first time a few months ago in a long time. I was scared just a bit,126,I flew for the first in a long time a few months ago. I was scared just a bit beforehand,4|5|5_5|5|5,
hit:3358_conv:6717,4,lonely,I just moved to a new state all by myself. I do not know anyone here yet.,445,Have you tried to go out and make friends?,5|5|5_5|5|5,
hit:4295_conv:8590,2,embarrassed,I went to the movies and let out a giant fart while I was walking past some people to my seat.,226,Oh my goodness_comma_ I bet that was embarrassing!!! ,5|5|5_5|5|5,
hit:2914_conv:5829,4,devastated,MY favorite restaurant is closing this weekend. I am distraught!,111,What was your fav dish there?,5|5|5_4|4|4,
hit:12221_conv:24442,2,devastated,I applied for a different position at work_comma_ and I didn't receive the promotion.,64,That's unfortunate. You will get the next one_comma_ I am sure.,5|5|5_5|5|5,
hit:7094_conv:14188,3,lonely,I didnt know anyone my first semester of uni,63,i did but it was a lonesome first semester,5|5|5_5|5|5,
hit:7592_conv:15185,1,jealous,I can't believe how much more money some people earn than me,196,I can't believe how much more some people get paid than others,5|5|5_5|4|5,
hit:1725_conv:3451,3,angry,I had a job interview. Everything went great and I just knew the job was mine.,226,That's just it_comma_ I didn't get it. It went to someone that I'm sure is less qualified. It was quite upsetting.,4|4|5_5|5|5,
hit:3203_conv:6406,3,proud,My sister went back to college at 30. She is a real inspiration.,262,I know. She has three kids_comma_ single mom_comma_ works and goes to school She is awesome!,5|5|5_5|5|5,
hit:1589_conv:3178,4,afraid,Just finished watching a murder mystery series. I'm afraid of walking outside in the dark now.,321,i loved the ed gein documentary ,5|5|5_5|5|5,
hit:10988_conv:21976,3,grateful,Our lawnmower is broken_comma_ and our neighbour offered to help us out by mowing our lawn.,349,He's been a great neighbour.  Very thankful that he's been able to help.,5|5|5_5|5|5,
hit:3072_conv:6145,2,embarrassed,I said a very bad joke during a lunch with my coworkers. I felt so stupid.,1,We've all done stupid things. I'm sure they'll let it go eventually.,5|5|5_5|5|5,
hit:5474_conv:10949,2,nostalgic,I once had a dream where I was young again and my younger sibling was a baby and my parents were both smiling. It felt so real and pure_comma_ that I woke up crying. It sucks knowing you'll never have that again.,469,Yes all the time! That sounds like a nice dream. Do you still have a close relationship with your family?,4|5|5_5|5|5,
hit:4647_conv:9295,3,terrified,I was deathly afraid of spiders. I moved into a house that had every kind of spider you can imagine.,226,I was having an anxiety attack every time I saw one.,3|3|4_4|4|5,
hit:4212_conv:8424,4,sad,I never get to go to the movies.,503,Well you can always try to make it better. Maybe you should try to get out more?,5|5|5_4|4|4,
hit:7753_conv:15507,4,excited,My friend flew into town this week and I get to see him again after 4 years! I can't wait to see him,466,Hopefully he hasn't changed too much and you guys still have similar interests!,5|5|5_4|4|4,
hit:8971_conv:17943,1,disgusted,I stepped in bubble gum in the parking lot at work.,244,I stepped in bubble gum in the parking lot at work.,5|5|5_2|3|5,
hit:8166_conv:16332,2,hopeful,I'll be getting a raise and a promotion in Feb.,238,wow that sounds nice,5|5|5_5|5|5,
hit:7209_conv:14418,4,joyful,I proposed to my girlfriend and she said yes.  I am so happy she did.,202,Yeah man_comma_ it would have sucked if she said no.,5|5|5_4|4|4,
hit:12236_conv:24473,1,confident,I am going to propose to my girlfriend and I am sure she will say yes.,123,"I am going to actually propose to my ""husband"" soon.",5|5|5_5|5|5,
hit:11782_conv:23565,3,embarrassed,I can't believe I actually went to work wearing my wife's dress the other day. I knew something was wrong when it felt like I was wrapped like a sausage. Luckily I had a spare suit in my office to change into.,139,That thought crossed my mind but my wife didn't want me ripping her clothes. Luckily I had another suit in the office I changed into.,5|5|5_4|5|5,
hit:1235_conv:2471,4,afraid,I live in a bad neighborhood and sometimes walking is dangerous- The other night when I was walking someone was following me,75,Oh well_comma_ be carreful.Make sure nobody is following you.,1|5|5_4|4|4,
hit:5055_conv:10110,4,prepared,I got every thing I need for school in a couple of weeks. I am so ready,238,oh wow thats great.  ,5|5|5_5|5|5,
hit:696_conv:1392,1,guilty,I felt guilty when I was in college and I cheated on a test,34,Wen I was in college and I cheated on a test I felt guilty,5|5|5_5|5|5,
hit:11981_conv:23962,2,disgusted,I was travelling India last year. I came across a man lying on ground with his face covered in blood and flies in his mouth.,45,Oh_comma_ wow_comma_ that is absolutely terrible! I can imagine it was horrifying for you.,3|4|4_5|5|5,
hit:1541_conv:3082,1,anxious,I really hate when I have to wake up early for an appointment. I fear I will sleep in and miss it!,220,I hate having to wake up early for appointments. My biggest fear is that I will oversleep and miss it,5|5|5_5|5|5,
hit:7140_conv:14281,3,jealous,My friend just bought a new Audi.  I am so envious of him.,322,Yeah_comma_ I am so envious of him.,5|5|5_5|5|5,
hit:4432_conv:8864,2,sad,I cant belive my friend is getting married. He fiance is terrible,209,That's great! Are you going to be in the wedding?,5|5|5_5|5|5,
hit:12175_conv:24350,4,nostalgic,I miss the old days when I lived at home with my parents. We had a nice house and I didn't have to do anything but school and play with my friends. Now I have responsibilities.,437,Someone needs to invent a time machine!,5|5|5_5|5|5,
hit:4129_conv:8258,5,prepared,I have never been more ready for school to start. The summer was so boring I had no choice.,262,Yes I a junir this uear,5|5|5_5|5|5,
hit:3181_conv:6362,2,anxious,I am worried about my interview,209,What is your interview for?,5|5|5_5|5|5,
hit:6292_conv:12585,1,angry,I saw a guy throw a bunch of garbage out his window. I was so mad. I yelled at him to clean up the trash.,139,I saw this dude throw a bunch of garbage out of his car. I yelled at him to go pick it up.,5|5|5_4|5|5,
hit:459_conv:919,4,proud,"I was video chatting with my grandmother the other evening_comma_ letting her say ""hi"" to my sons. She asked my four year old if he was able to count and he showed her that he could count to 50. He did a bunch of other cute stuff that my grandma liked.",164,Yes that's the bad part.  Was the call that way for her?,5|4|5_5|5|5,
hit:6377_conv:12754,4,disgusted,my cousin used to purposely pee in the bed,117,What a wacko! I hope she grew out of it.,5|5|5_4|5|5,
hit:919_conv:1839,4,anticipating,Just got back from a job interview. I was able to answer all the questions and the recruiter seem impressed.,126,good luck going forward,3|3|3_5|4|4,
hit:9304_conv:18609,2,impressed,I watched a man eat a 5 pound ham.  I was very inspired by his act.,445,oh my god_comma_ thats alot of ham_comma_ Did he throw it up after?,4|4|5_5|5|5,
hit:12089_conv:24178,4,angry,I came home from vacation to find my home had been broken into. They stole my grandmothers broach.,27,I hate that people do things like that.,5|5|5_5|5|5,
hit:7060_conv:14121,1,anticipating,Going to Florida soon!,389,I can't wait for next month,5|5|5_5|5|5,
hit:1360_conv:2721,2,impressed,There is a new restaurant in my neighborhood and it is quite good. We don't have good restaurants.,225,what kind of food do they serve?,5|5|5_5|5|5,
hit:9053_conv:18106,2,sentimental,I got a little sappy when I saw a puppy on facebook. It made me want a dog,301,What kind would you get,4|5|5_5|5|5,
hit:9961_conv:19922,4,joyful,Christmas is my favorite time of the year.  I could not love it more.  And I start shopping now_comma_ so I'm already in the Christmas spirit!,1,If only it was Christmas all year long_comma_ hu?,5|5|5_5|5|5,
hit:3189_conv:6378,4,anxious,I am worried about not being ready for the party on Friday,273,Oh_comma_ so you're hosting. Man_comma_ that's definitely hard. I really do feel for you_comma_ as I wouldn't have the courage to do that. Well_comma_ since you're worried about it_comma_ at least it shows you care. And you still have plenty of time to prepare! Do you have anyone that can help?,5|5|5_4|4|4,
hit:8389_conv:16778,4,angry,Someone backed into my car in the parking lot! They didn't even leave a note!,238,damn you should have hunted them down,5|5|5_5|5|5,
hit:7279_conv:14558,2,disappointed,I bought a lottery ticket last week thinking I would win big.  Needless to say I am still working today.,238,heh well at least you can be here while working,5|5|5_5|5|5,
hit:1873_conv:3746,1,confident,i have a great body now since i worked hard on it thru the winter,271,my body is great i worked hard towards it,5|5|4_5|5|5,
hit:9632_conv:19265,3,guilty,I feel bad I didn't get as much accomplished in the past week as I should!,296,True but it's only me here. I have fibro and I work a lot and frankly even to move my hand has been painful_comma_ so it's hard.,5|5|5_5|5|5,
hit:11205_conv:22410,1,prepared,Having got all of the vaccines necessary for a trip to Asia.,632,I got all of my vaccines I needed for a trip to Asia. They cover everything and now I feel fully prepared to go!,5|5|5_5|5|5,
hit:6812_conv:13625,1,excited,I got my new vacuum today finally! I couldn't wait to open it up! First new vacuum I think I have ever gotten.,296,I got my new vacuum today finally! I couldn't wait to open it up! The last one was broken...,4|5|5_5|5|5,
hit:8038_conv:16076,1,terrified,My dog pooped on the rug. I am scared to go clean it up.,209,My dog pooped on the rug today.,5|5|5_5|5|5,
hit:2605_conv:5210,2,grateful,Mom bought me groceries once,132,Wow_comma_ that's... odd.  Was it for a cake?,5|5|5_5|5|5,
hit:4578_conv:9156,3,disappointed,I really wanted to get an A in this one engineering class that I was in. Instead I got a C and felt quite bad about it.,55,It was pretty important but I can come back from it.,5|5|5_5|5|5,
hit:10157_conv:20314,2,jealous,My neighbours just bought a new car and put in a pool. I feel like I just can't get ahead- I can barely pay the bills. ,181,Ok_comma_thats lovely,2|2|2_4|4|4,
hit:5137_conv:10274,3,impressed,I am fascinated by how in depth Roblox is.,220,It's an online computer game.,5|4|4_4|5|4,
hit:1590_conv:3181,3,caring,Just adopted a dog. We're gonna pick the little guy up this weekend.,1,It's a jack russell terrier!,5|5|5_5|5|5,
hit:12403_conv:24806,3,afraid,I dont like uncertainty. I like to know what is going to happen.,298,Im not sure what I want to do career wise.,3|4|4_5|5|5,
